Name,",mse",si_mse,angular,psnr
empty_warehouse_01_4k.exr,0.7932844,0.15845852,1.1228131753486603,5.600841682900165
en_suite_4k.exr,0.5927803,0.20839898,7.463746102291255,5.744271995540452
entrance_hall_4k.exr,0.586272,0.28417525,4.3366181447177565,7.166429205594106
epping_forest_01_4k.exr,0.42324752,0.30026516,6.592770665114608,12.410883730865834
epping_forest_02_4k.exr,0.7528204,0.27000383,7.920775420293881,8.19347705351043
evening_road_01_4k.exr,0.595164,0.19748221,5.56390724943701,7.450402781320298
factory_yard_4k.exr,0.79916054,0.17572467,0.6027826288647168,5.093573902906453
farm_field_4k.exr,1.111934,0.4022243,2.787532278365168,2.600245754105846
felsenlabyrinth_4k.exr,0.7277379,0.22317417,3.318013104478084,7.7749980134584185
fireplace_4k.exr,0.10662153,0.033708096,6.089649454549195,11.976884170923057
fish_eagle_hill_4k.exr,0.6549104,0.17437284,3.8662158230763093,6.846203787380075
fish_hoek_beach_4k.exr,0.56908846,0.09856583,1.4285502897979943,7.309938862575725
floral_tent_4k.exr,0.703886,0.32959098,11.848229934168446,7.604876618459091
flower_hillside_4k.exr,0.8771149,0.1786584,1.8029931982511938,7.018371918772899
flower_road_4k.exr,0.10282137,0.05742861,5.6999890423409,15.628300984618082
forest_cave_4k.exr,0.7704404,0.2934409,6.132583994710124,6.5757399974358375
forest_slope_4k.exr,1.0879425,0.3061873,6.016492062145338,5.275748342976958
forgotten_miniland_4k.exr,0.19887055,0.16874434,2.7383908527043297,18.108869340315746
fouriesburg_mountain_cloudy_4k.exr,0.65708923,0.044913713,0.3144316288701574,6.326769628729915
fouriesburg_mountain_lookout_4k.exr,0.27950555,0.18598987,4.854419227461663,16.491406133664583
fouriesburg_mountain_midday_4k.exr,1.1783652,0.45741668,5.241976737643708,7.186584336895469
freight_station_4k.exr,0.42969888,0.14246649,1.6399107326918236,7.612215952174154
frozen_lake_4k.exr,0.45932376,0.22649537,11.586585601347563,10.414114401815084
gamrig_4k.exr,0.14672448,0.09233829,3.116684138936476,16.558972522636136
garage_4k.exr,1.1605469,0.5114414,5.092510319051592,3.754513974768014
garden_nook_4k.exr,0.3489475,0.16220438,3.0561790122637964,12.437430637524947
georgentor_4k.exr,0.9085497,0.55978554,5.663858966287255,13.456508606956454
