name, rmse, si_rmse, angular_error, norm_rmse
dusseldorf_bridge_4k.exr, 0.3112491816015056, 0.14108624716556947, 0.9340457858776208, 0.21290347321444025
ehingen_hillside_02_4k.exr, 0.5158598849147942, 0.13825721088218484, 1.713140581082751, 0.20921981980225163
ehingen_hillside_4k.exr, 0.2300236861407545, 0.09230503528980526, 1.127856133546866, 0.23032161311871335
eilenriede_park_4k.exr, 0.6511590557023149, 0.19988420161561268, 0.9859584407344165, 0.16754192473686386
emmarentia_4k.exr, 0.38283720882946487, 0.25153142671827944, 2.7873143453491362, 0.28968141447991175
empty_warehouse_01_4k.exr, 0.0751745097456559, 0.07508498143268358, 0.9511667922949598, 0.19545906187195597
en_suite_4k.exr, 0.23726575259253113, 0.11646784299239513, 2.4580413681438396, 0.2590712670763219
entrance_hall_4k.exr, 0.2741290948782257, 0.14593222374821133, 3.817763072675751, 0.26088885659678057
epping_forest_01_4k.exr, 1.4810626795588369, 0.3832669648002973, 5.186439220955595, 0.47170486678015205
epping_forest_02_4k.exr, 0.26402720566265053, 0.24119450639126766, 1.0275060191902212, 0.2968336831751361
evening_road_01_4k.exr, 0.3843674353633003, 0.09420480888336255, 1.3787672627720147, 0.16738813033257485
factory_yard_4k.exr, 0.15246008202911945, 0.10464821633222614, 0.7477044331467029, 0.15573316025298062
farm_field_4k.exr, 0.22835161105811608, 0.18691360707168678, 0.8693219211052264, 0.3507920600798234
felsenlabyrinth_4k.exr, 0.5050874787609947, 0.2065938803708315, 1.2470342379905923, 0.18372685046523057
fireplace_4k.exr, 0.4841827367346053, 0.48412806856201723, 18.346226152974594, 0.4328778953240029
fish_eagle_hill_4k.exr, 0.39154055407965216, 0.19894707427455244, 1.4470704098757603, 0.19504233566619344
fish_hoek_beach_4k.exr, 0.12073973833167916, 0.06769546236286632, 0.5313658137593597, 0.12839702277489565
floral_tent_4k.exr, 0.28152838073331365, 0.24303843762033922, 4.682337933879632, 0.36805655849092644
